district,date,month,year,visitors,Dates
Jangaon ,1/7/2018,July,2018,26280,7/1/2018
Jangaon ,1/8/2018,August,2018,26020,8/1/2018
Jangaon ,1/9/2018,September,2018,28830,9/1/2018
Jangaon ,1/10/2018,October,2018,29470,10/1/2018
Jangaon ,1/11/2018,November,2018,29570,11/1/2018
Jangaon ,1/12/2018,December,2018,36962,12/1/2018
Jayashankar Bhoopalpally,1/1/2018,January,2018,6519850,1/1/2018
Jayashankar Bhoopalpally,1/2/2018,February,2018,8626250,2/1/2018
Jayashankar Bhoopalpally,1/3/2018,March,2018,146150,3/1/2018
Jayashankar Bhoopalpally,1/4/2018,April,2018,149150,4/1/2018
Jayashankar Bhoopalpally,1/5/2018,May,2018,152050,5/1/2018
Jayashankar Bhoopalpally,1/6/2018,June,2018,159400,6/1/2018
Jayashankar Bhoopalpally,1/7/2018,July,2018,128550,7/1/2018
Jayashankar Bhoopalpally,1/8/2018,August,2018,184700,8/1/2018
Jayashankar Bhoopalpally,1/9/2018,September,2018,192300,9/1/2018
Jayashankar Bhoopalpally,1/10/2018,October,2018,195400,10/1/2018
Jayashankar Bhoopalpally,1/11/2018,November,2018,196500,11/1/2018
Jayashankar Bhoopalpally,1/12/2018,December,2018,245625,12/1/2018
Jogulamba Gadwal ,1/1/2018,January,2018,146441,1/1/2018
Jogulamba Gadwal ,1/2/2018,February,2018,481110,2/1/2018
Jogulamba Gadwal ,1/3/2018,March,2018,155013,3/1/2018
Jogulamba Gadwal ,1/4/2018,April,2018,138673,4/1/2018
Jogulamba Gadwal ,1/5/2018,May,2018,131426,5/1/2018
Jogulamba Gadwal ,1/6/2018,June,2018,160182,6/1/2018
Jogulamba Gadwal ,1/7/2018,July,2018,114951,7/1/2018
Jogulamba Gadwal ,1/8/2018,August,2018,123733,8/1/2018
Jogulamba Gadwal ,1/9/2018,September,2018,121710,9/1/2018
Jogulamba Gadwal ,1/10/2018,October,2018,152898,10/1/2018
Jogulamba Gadwal ,1/11/2018,November,2018,128075,11/1/2018
Jogulamba Gadwal ,1/12/2018,December,2018,182333,12/1/2018
Kamareddy ,1/1/2018,January,2018,44,1/1/2018
Kamareddy ,1/2/2018,February,2018,44,2/1/2018
Kamareddy ,1/3/2018,March,2018,45,3/1/2018
Kamareddy ,1/4/2018,April,2018,45,4/1/2018
Kamareddy ,1/5/2018,May,2018,49,5/1/2018
Kamareddy ,1/6/2018,June,2018,56,6/1/2018
Kamareddy ,1/7/2018,July,2018,48,7/1/2018
Kamareddy ,1/8/2018,August,2018,55,8/1/2018
Kamareddy ,1/9/2018,September,2018,40,9/1/2018
Kamareddy ,1/10/2018,October,2018,62,10/1/2018
Kamareddy ,1/11/2018,November,2018,41,11/1/2018
Kamareddy ,1/12/2018,December,2018,43,12/1/2018
Karimnagar ,1/1/2018,January,2018,13505,1/1/2018
Karimnagar ,1/2/2018,February,2018,9330,2/1/2018
Karimnagar ,1/3/2018,March,2018,7205,3/1/2018
Karimnagar ,1/4/2018,April,2018,5830,4/1/2018
Karimnagar ,1/5/2018,May,2018,5689,5/1/2018
Karimnagar ,1/6/2018,June,2018,7180,6/1/2018
Karimnagar ,1/7/2018,July,2018,6686,7/1/2018
Karimnagar ,1/8/2018,August,2018,8480,8/1/2018
Karimnagar ,1/9/2018,September,2018,8480,9/1/2018
Karimnagar ,1/10/2018,October,2018,6118,10/1/2018
Karimnagar ,1/11/2018,November,2018,7145,11/1/2018
Karimnagar ,1/12/2018,December,2018,7800,12/1/2018
Khammam,1/1/2018,January,2018,110094,1/1/2018
Khammam,1/2/2018,February,2018,104444,2/1/2018
Khammam,1/3/2018,March,2018,127152,3/1/2018
Khammam,1/4/2018,April,2018,126553,4/1/2018
Khammam,1/5/2018,May,2018,135189,5/1/2018
Khammam,1/6/2018,June,2018,135988,6/1/2018
Khammam,1/7/2018,July,2018,85932,7/1/2018
Khammam,1/8/2018,August,2018,86309,8/1/2018
Khammam,1/9/2018,September,2018,143465,9/1/2018
Khammam,1/10/2018,October,2018,127645,10/1/2018
Khammam,1/11/2018,November,2018,99070,11/1/2018
Khammam,1/12/2018,December,2018,135600,12/1/2018
Komaram Bheem Asifabad,1/1/2018,January,2018,2863,1/1/2018
Komaram Bheem Asifabad,1/2/2018,February,2018,2736,2/1/2018
Komaram Bheem Asifabad,1/3/2018,March,2018,1826,3/1/2018
Komaram Bheem Asifabad,1/4/2018,April,2018,868,4/1/2018
Komaram Bheem Asifabad,1/5/2018,May,2018,793,5/1/2018
Komaram Bheem Asifabad,1/6/2018,June,2018,990,6/1/2018
Komaram Bheem Asifabad,1/7/2018,July,2018,1954,7/1/2018
Komaram Bheem Asifabad,1/8/2018,August,2018,2263,8/1/2018
Komaram Bheem Asifabad,1/9/2018,September,2018,1819,9/1/2018
Komaram Bheem Asifabad,1/10/2018,October,2018,2525,10/1/2018
Komaram Bheem Asifabad,1/11/2018,November,2018,1741,11/1/2018
Komaram Bheem Asifabad,1/12/2018,December,2018,2176,12/1/2018
Mahabubabad ,1/1/2018,January,2018,14000,1/1/2018
Mahabubabad ,1/2/2018,February,2018,14230,2/1/2018
Mahabubabad ,1/3/2018,March,2018,13110,3/1/2018
Mahabubabad ,1/4/2018,April,2018,12915,4/1/2018
Mahabubabad ,1/5/2018,May,2018,12865,5/1/2018
Mahabubabad ,1/6/2018,June,2018,13910,6/1/2018
Mahabubabad ,1/7/2018,July,2018,13970,7/1/2018
Mahabubabad ,1/8/2018,August,2018,13200,8/1/2018
Mahabubabad ,1/9/2018,September,2018,13420,9/1/2018
Mahabubabad ,1/10/2018,October,2018,13550,10/1/2018
Mahabubabad ,1/11/2018,November,2018,13700,11/1/2018
Mahabubabad ,1/12/2018,December,2018,17125,12/1/2018
Mahbubnagar,1/1/2018,January,2018,156153,1/1/2018
Mahbubnagar,1/2/2018,February,2018,788083,2/1/2018
Mahbubnagar,1/3/2018,March,2018,166863,3/1/2018
Mahbubnagar,1/4/2018,April,2018,196061,4/1/2018
Mahbubnagar,1/5/2018,May,2018,193478,5/1/2018
Mahbubnagar,1/6/2018,June,2018,165553,6/1/2018
Mahbubnagar,1/7/2018,July,2018,161841,7/1/2018
Mahbubnagar,1/8/2018,August,2018,169154,8/1/2018
Mahbubnagar,1/9/2018,September,2018,167833,9/1/2018
Mahbubnagar,1/10/2018,October,2018,193152,10/1/2018
Mahbubnagar,1/11/2018,November,2018,295910,11/1/2018
Mahbubnagar,1/12/2018,December,2018,198227,12/1/2018
Mancherial,1/1/2018,January,2018,71955,1/1/2018
Mancherial,1/2/2018,February,2018,38599,2/1/2018
Mancherial,1/3/2018,March,2018,20749,3/1/2018
Mancherial,1/4/2018,April,2018,38483,4/1/2018
Mancherial,1/5/2018,May,2018,26179,5/1/2018
Mancherial,1/6/2018,June,2018,31667,6/1/2018
Mancherial,1/7/2018,July,2018,27937,7/1/2018
Mancherial,1/8/2018,August,2018,31861,8/1/2018
Mancherial,1/9/2018,September,2018,23141,9/1/2018
Mancherial,1/10/2018,October,2018,30740,10/1/2018
Mancherial,1/11/2018,November,2018,25197,11/1/2018
Mancherial,1/12/2018,December,2018,31496,12/1/2018
Medak ,1/1/2018,January,2018,100000,1/1/2018
Medak ,1/2/2018,February,2018,1000000,2/1/2018
Medak ,1/3/2018,March,2018,600000,3/1/2018
Medak ,1/4/2018,April,2018,200000,4/1/2018
Medak ,1/5/2018,May,2018,300000,5/1/2018
Medak ,1/6/2018,June,2018,500000,6/1/2018
Medak ,1/7/2018,July,2018,150000,7/1/2018
Medak ,1/8/2018,August,2018,50000,8/1/2018
Medak ,1/9/2018,September,2018,100000,9/1/2018
Medak ,1/10/2018,October,2018,300000,10/1/2018
Medak ,1/11/2018,November,2018,200000,11/1/2018
Medak ,1/12/2018,December,2018,400000,12/1/2018
Medchal ,1/1/2018,January,2018,0,1/1/2018
Medchal ,1/2/2018,February,2018,0,2/1/2018
Medchal ,1/3/2018,March,2018,0,3/1/2018
Medchal ,1/4/2018,April,2018,0,4/1/2018
Medchal ,1/5/2018,May,2018,0,5/1/2018
Medchal ,1/6/2018,June,2018,0,6/1/2018
Medchal ,1/7/2018,July,2018,0,7/1/2018
Medchal ,1/8/2018,August,2018,0,8/1/2018
Medchal ,1/9/2018,September,2018,0,9/1/2018
Medchal ,1/10/2018,October,2018,0,10/1/2018
Medchal ,1/11/2018,November,2018,0,11/1/2018
Medchal ,1/12/2018,December,2018,0,12/1/2018
Nagarkurnool ,1/1/2018,January,2018,228812,1/1/2018
Nagarkurnool ,1/2/2018,February,2018,286258,2/1/2018
Nagarkurnool ,1/3/2018,March,2018,184508,3/1/2018
Nagarkurnool ,1/4/2018,April,2018,174592,4/1/2018
Nagarkurnool ,1/5/2018,May,2018,183697,5/1/2018
Nagarkurnool ,1/6/2018,June,2018,180010,6/1/2018
Nagarkurnool ,1/7/2018,July,2018,93450,7/1/2018
Nagarkurnool ,1/8/2018,August,2018,118010,8/1/2018
Nagarkurnool ,1/9/2018,September,2018,118449,9/1/2018
Nagarkurnool ,1/10/2018,October,2018,201050,10/1/2018
Nagarkurnool ,1/11/2018,November,2018,121452,11/1/2018
Nagarkurnool ,1/12/2018,December,2018,198637,12/1/2018
Nalgonda,1/1/2018,January,2018,36205,1/1/2018
Nalgonda,1/2/2018,February,2018,9971,2/1/2018
Nalgonda,1/3/2018,March,2018,9677,3/1/2018
Nalgonda,1/4/2018,April,2018,9779,4/1/2018
Nalgonda,1/5/2018,May,2018,10241,5/1/2018
Nalgonda,1/6/2018,June,2018,9066,6/1/2018
Nalgonda,1/7/2018,July,2018,9668,7/1/2018
Nalgonda,1/8/2018,August,2018,10135,8/1/2018
Nalgonda,1/9/2018,September,2018,21365,9/1/2018
Nalgonda,1/10/2018,October,2018,22332,10/1/2018
Nalgonda,1/11/2018,November,2018,5422,11/1/2018
Nalgonda,1/12/2018,December,2018,6777,12/1/2018
Nirmal,1/1/2018,January,2018,480241,1/1/2018
Nirmal,1/2/2018,February,2018,335447,2/1/2018
Nirmal,1/3/2018,March,2018,328099,3/1/2018
Nirmal,1/4/2018,April,2018,368645,4/1/2018
Nirmal,1/5/2018,May,2018,342650,5/1/2018
Nirmal,1/6/2018,June,2018,355197,6/1/2018
Nirmal,1/7/2018,July,2018,335356,7/1/2018
Nirmal,1/8/2018,August,2018,313910,8/1/2018
Nirmal,1/9/2018,September,2018,293859,9/1/2018
Nirmal,1/10/2018,October,2018,373291,10/1/2018
Nirmal,1/11/2018,November,2018,289169,11/1/2018
Nirmal,1/12/2018,December,2018,361461,12/1/2018
Nizamabad,1/1/2018,January,2018,2495,1/1/2018
Nizamabad,1/2/2018,February,2018,7152,2/1/2018
Nizamabad,1/3/2018,March,2018,2903,3/1/2018
Nizamabad,1/4/2018,April,2018,3550,4/1/2018
Nizamabad,1/5/2018,May,2018,5360,5/1/2018
Nizamabad,1/6/2018,June,2018,1761,6/1/2018
Nizamabad,1/7/2018,July,2018,5882,7/1/2018
Nizamabad,1/8/2018,August,2018,10525,8/1/2018
Nizamabad,1/9/2018,September,2018,475,9/1/2018
Nizamabad,1/10/2018,October,2018,490,10/1/2018
Nizamabad,1/11/2018,November,2018,475,11/1/2018
Nizamabad,1/12/2018,December,2018,355,12/1/2018
Peddapalli,1/1/2018,January,2018,2670,1/1/2018
Peddapalli,1/2/2018,February,2018,2695,2/1/2018
Peddapalli,1/3/2018,March,2018,2325,3/1/2018
Peddapalli,1/4/2018,April,2018,1940,4/1/2018
Peddapalli,1/5/2018,May,2018,1499,5/1/2018
Peddapalli,1/6/2018,June,2018,1580,6/1/2018
Peddapalli,1/7/2018,July,2018,1580,7/1/2018
Peddapalli,1/8/2018,August,2018,1595,8/1/2018
Peddapalli,1/9/2018,September,2018,1475,9/1/2018
Peddapalli,1/10/2018,October,2018,1545,10/1/2018
Peddapalli,1/11/2018,November,2018,1655,11/1/2018
Peddapalli,1/12/2018,December,2018,1695,12/1/2018
Rajanna Sircilla ,1/1/2018,January,2018,2238074,1/1/2018
Rajanna Sircilla ,1/2/2018,February,2018,1021787,2/1/2018
Rajanna Sircilla ,1/3/2018,March,2018,1022669,3/1/2018
Rajanna Sircilla ,1/4/2018,April,2018,833874,4/1/2018
Rajanna Sircilla ,1/5/2018,May,2018,1021952,5/1/2018
Rajanna Sircilla ,1/6/2018,June,2018,320886,6/1/2018
Rajanna Sircilla ,1/7/2018,July,2018,937720,7/1/2018
Rajanna Sircilla ,1/8/2018,August,2018,320952,8/1/2018
Rajanna Sircilla ,1/9/2018,September,2018,818693,9/1/2018
Rajanna Sircilla ,1/10/2018,October,2018,506563,10/1/2018
Rajanna Sircilla ,1/11/2018,November,2018,840933,11/1/2018
Rajanna Sircilla ,1/12/2018,December,2018,950128,12/1/2018
Ranga Reddy,1/1/2018,January,2018,0,1/1/2018
Ranga Reddy,1/2/2018,February,2018,0,2/1/2018
Ranga Reddy,1/3/2018,March,2018,0,3/1/2018
Ranga Reddy,1/4/2018,April,2018,0,4/1/2018
Ranga Reddy,1/5/2018,May,2018,0,5/1/2018
Ranga Reddy,1/6/2018,June,2018,0,6/1/2018
Ranga Reddy,1/7/2018,July,2018,0,7/1/2018
Ranga Reddy,1/8/2018,August,2018,0,8/1/2018
Ranga Reddy,1/9/2018,September,2018,0,9/1/2018
Ranga Reddy,1/10/2018,October,2018,0,10/1/2018
Ranga Reddy,1/11/2018,November,2018,0,11/1/2018
Ranga Reddy,1/12/2018,December,2018,0,12/1/2018
Sangareddy ,1/1/2018,January,2018,254000,1/1/2018
Sangareddy ,1/2/2018,February,2018,540000,2/1/2018
Sangareddy ,1/3/2018,March,2018,158500,3/1/2018
Sangareddy ,1/4/2018,April,2018,162500,4/1/2018
Sangareddy ,1/5/2018,May,2018,157000,5/1/2018
Sangareddy ,1/6/2018,June,2018,93500,6/1/2018
Sangareddy ,1/7/2018,July,2018,108600,7/1/2018
Sangareddy ,1/8/2018,August,2018,205000,8/1/2018
Sangareddy ,1/9/2018,September,2018,125000,9/1/2018
Sangareddy ,1/10/2018,October,2018,171800,10/1/2018
Sangareddy ,1/11/2018,November,2018,160000,11/1/2018
Sangareddy ,1/12/2018,December,2018,134000,12/1/2018
Siddipet,1/1/2018,January,2018,253000,1/1/2018
Siddipet,1/2/2018,February,2018,44000,2/1/2018
Siddipet,1/3/2018,March,2018,164800,3/1/2018
Siddipet,1/4/2018,April,2018,115000,4/1/2018
Siddipet,1/5/2018,May,2018,165200,5/1/2018
Siddipet,1/6/2018,June,2018,104300,6/1/2018
Siddipet,1/7/2018,July,2018,54000,7/1/2018
Siddipet,1/8/2018,August,2018,100000,8/1/2018
Siddipet,1/9/2018,September,2018,55000,9/1/2018
Siddipet,1/10/2018,October,2018,43000,10/1/2018
Siddipet,1/11/2018,November,2018,135000,11/1/2018
Siddipet,1/12/2018,December,2018,50000,12/1/2018
Suryapet,1/1/2018,January,2018,0,1/1/2018
Suryapet,1/2/2018,February,2018,0,2/1/2018
Suryapet,1/3/2018,March,2018,0,3/1/2018
Suryapet,1/4/2018,April,2018,0,4/1/2018
Suryapet,1/5/2018,May,2018,0,5/1/2018
Suryapet,1/6/2018,June,2018,0,6/1/2018
Suryapet,1/7/2018,July,2018,0,7/1/2018
Suryapet,1/8/2018,August,2018,0,8/1/2018
Suryapet,1/9/2018,September,2018,0,9/1/2018
Suryapet,1/10/2018,October,2018,0,10/1/2018
Suryapet,1/11/2018,November,2018,0,11/1/2018
Suryapet,1/12/2018,December,2018,0,12/1/2018
Vikarabad,1/1/2018,January,2018,0,1/1/2018
Vikarabad,1/2/2018,February,2018,0,2/1/2018
Vikarabad,1/3/2018,March,2018,0,3/1/2018
Vikarabad,1/4/2018,April,2018,0,4/1/2018
Vikarabad,1/5/2018,May,2018,0,5/1/2018
Vikarabad,1/6/2018,June,2018,0,6/1/2018
Vikarabad,1/7/2018,July,2018,0,7/1/2018
Vikarabad,1/8/2018,August,2018,0,8/1/2018
Vikarabad,1/9/2018,September,2018,0,9/1/2018
Vikarabad,1/10/2018,October,2018,0,10/1/2018
Vikarabad,1/11/2018,November,2018,0,11/1/2018
Vikarabad,1/12/2018,December,2018,0,12/1/2018
Wanaparthy ,1/1/2018,January,2018,28131,1/1/2018
Wanaparthy ,1/2/2018,February,2018,22341,2/1/2018
Wanaparthy ,1/3/2018,March,2018,20050,3/1/2018
Wanaparthy ,1/4/2018,April,2018,10550,4/1/2018
Wanaparthy ,1/5/2018,May,2018,11502,5/1/2018
Wanaparthy ,1/6/2018,June,2018,19092,6/1/2018
Wanaparthy ,1/7/2018,July,2018,32625,7/1/2018
Wanaparthy ,1/8/2018,August,2018,35860,8/1/2018
Wanaparthy ,1/9/2018,September,2018,32002,9/1/2018
Wanaparthy ,1/10/2018,October,2018,21234,10/1/2018
Wanaparthy ,1/11/2018,November,2018,32657,11/1/2018
Wanaparthy ,1/12/2018,December,2018,20556,12/1/2018
Warangal (Rural),1/1/2018,January,2018,25200,1/1/2018
Warangal (Rural),1/2/2018,February,2018,26300,2/1/2018
Warangal (Rural),1/3/2018,March,2018,26200,3/1/2018
Warangal (Rural),1/4/2018,April,2018,21600,4/1/2018
Warangal (Rural),1/5/2018,May,2018,22100,5/1/2018
Warangal (Rural),1/6/2018,June,2018,23100,6/1/2018
Warangal (Rural),1/7/2018,July,2018,25900,7/1/2018
Warangal (Rural),1/8/2018,August,2018,25700,8/1/2018
Warangal (Rural),1/9/2018,September,2018,25800,9/1/2018
Warangal (Rural),1/10/2018,October,2018,26000,10/1/2018
Warangal (Rural),1/11/2018,November,2018,24050,11/1/2018
Warangal (Rural),1/12/2018,December,2018,30062,12/1/2018
Warangal (Urban),1/1/2018,January,2018,137530,1/1/2018
Warangal (Urban),1/2/2018,February,2018,145750,2/1/2018
Warangal (Urban),1/3/2018,March,2018,140300,3/1/2018
Warangal (Urban),1/4/2018,April,2018,142510,4/1/2018
Warangal (Urban),1/5/2018,May,2018,143425,5/1/2018
Warangal (Urban),1/6/2018,June,2018,135615,6/1/2018
Warangal (Urban),1/7/2018,July,2018,136560,7/1/2018
Warangal (Urban),1/8/2018,August,2018,136760,8/1/2018
Warangal (Urban),1/9/2018,September,2018,138780,9/1/2018
Warangal (Urban),1/10/2018,October,2018,140948,10/1/2018
Warangal (Urban),1/11/2018,November,2018,144515,11/1/2018
Warangal (Urban),1/12/2018,December,2018,180643,12/1/2018
Yadadri Bhongir,1/1/2018,January,2018,2016000,1/1/2018
Yadadri Bhongir,1/2/2018,February,2018,3073872,2/1/2018
Yadadri Bhongir,1/3/2018,March,2018,2836580,3/1/2018
Yadadri Bhongir,1/4/2018,April,2018,692370,4/1/2018
Yadadri Bhongir,1/5/2018,May,2018,781842,5/1/2018
Yadadri Bhongir,1/6/2018,June,2018,577570,6/1/2018
Yadadri Bhongir,1/7/2018,July,2018,671156,7/1/2018
Yadadri Bhongir,1/8/2018,August,2018,526445,8/1/2018
Yadadri Bhongir,1/9/2018,September,2018,819350,9/1/2018
Yadadri Bhongir,1/10/2018,October,2018,586475,10/1/2018
Yadadri Bhongir,1/11/2018,November,2018,485208,11/1/2018
Yadadri Bhongir,1/12/2018,December,2018,606510,12/1/2018
Adilabad,1/1/2019,January,2019,25071,1/1/2019
Adilabad,1/2/2019,February,2019,406177,2/1/2019
Adilabad,1/3/2019,March,2019,14347,3/1/2019
Adilabad,1/4/2019,April,2019,9972,4/1/2019
Adilabad,1/5/2019,May,2019,6997,5/1/2019
Adilabad,1/6/2019,June,2019,9161,6/1/2019
Adilabad,1/7/2019,July,2019,11791,7/1/2019
Adilabad,1/8/2019,August,2019,108173,8/1/2019
Adilabad,1/9/2019,September,2019,37589,9/1/2019
Adilabad,1/10/2019,October,2019,38184,10/1/2019
Adilabad,1/11/2019,November,2019,70344,11/1/2019
Adilabad,1/12/2019,December,2019,38089,12/1/2019
Bhadradri Kothagudem ,1/1/2019,January,2019,283365,1/1/2019
Bhadradri Kothagudem ,1/2/2019,February,2019,229159,2/1/2019
Bhadradri Kothagudem ,1/3/2019,March,2019,225448,3/1/2019
Bhadradri Kothagudem ,1/4/2019,April,2019,349585,4/1/2019
Bhadradri Kothagudem ,1/5/2019,May,2019,275800,5/1/2019
Bhadradri Kothagudem ,1/6/2019,June,2019,9761776,6/1/2019
Bhadradri Kothagudem ,1/7/2019,July,2019,233338,7/1/2019
Bhadradri Kothagudem ,1/8/2019,August,2019,271941,8/1/2019
Bhadradri Kothagudem ,1/9/2019,September,2019,314199,9/1/2019
Bhadradri Kothagudem ,1/10/2019,October,2019,287432,10/1/2019
Bhadradri Kothagudem ,1/11/2019,November,2019,298366,11/1/2019
Bhadradri Kothagudem ,1/12/2019,December,2019,287328,12/1/2019
Hyderabad,1/1/2019,January,2019,1426500,1/1/2019
Hyderabad,1/2/2019,February,2019,983147,2/1/2019
Hyderabad,1/3/2019,March,2019,1009991,3/1/2019
Hyderabad,1/4/2019,April,2019,1045933,4/1/2019
Hyderabad,1/5/2019,May,2019,1305748,5/1/2019
Hyderabad,1/6/2019,June,2019,1262995,6/1/2019
Hyderabad,1/7/2019,July,2019,1094861,7/1/2019
Hyderabad,1/8/2019,August,2019,1121380,8/1/2019
Hyderabad,1/9/2019,September,2019,959930,9/1/2019
Hyderabad,1/10/2019,October,2019,1240643,10/1/2019
Hyderabad,1/11/2019,November,2019,1073665,11/1/2019
Hyderabad,1/12/2019,December,2019,1277569,12/1/2019
Jagtial ,1/1/2019,January,2019,211913,1/1/2019
Jagtial ,1/2/2019,February,2019,215105,2/1/2019
Jagtial ,1/3/2019,March,2019,194090,3/1/2019
Jagtial ,1/4/2019,April,2019,447226,4/1/2019
Jagtial ,1/5/2019,May,2019,500206,5/1/2019
Jagtial ,1/6/2019,June,2019,235363,6/1/2019
Jagtial ,1/7/2019,July,2019,157419,7/1/2019
Jagtial ,1/8/2019,August,2019,151570,8/1/2019
Jagtial ,1/9/2019,September,2019,157564,9/1/2019
Jagtial ,1/10/2019,October,2019,165070,10/1/2019
Jagtial ,1/11/2019,November,2019,277630,11/1/2019
Jagtial ,1/12/2019,December,2019,372959,12/1/2019
Jangaon ,1/1/2019,January,2019,28750,1/1/2019
Jangaon ,1/2/2019,February,2019,28810,2/1/2019
Jangaon ,1/3/2019,March,2019,27300,3/1/2019
Jangaon ,1/4/2019,April,2019,26160,4/1/2019
Jangaon ,1/5/2019,May,2019,26740,5/1/2019
Jangaon ,1/6/2019,June,2019,25820,6/1/2019
Jangaon ,1/7/2019,July,2019,24160,7/1/2019
Jangaon ,1/8/2019,August,2019,27800,8/1/2019
Jangaon ,1/9/2019,September,2019,28640,9/1/2019
Jangaon ,1/10/2019,October,2019,27840,10/1/2019
Jangaon ,1/11/2019,November,2019,28410,11/1/2019
Jangaon ,1/12/2019,December,2019,28460,12/1/2019
Jayashankar Bhoopalpally,1/1/2019,January,2019,197430,1/1/2019
Jayashankar Bhoopalpally,1/2/2019,February,2019,33500,2/1/2019
Jayashankar Bhoopalpally,1/3/2019,March,2019,37500,3/1/2019
Jayashankar Bhoopalpally,1/4/2019,April,2019,38500,4/1/2019
Jayashankar Bhoopalpally,1/5/2019,May,2019,30800,5/1/2019
Jayashankar Bhoopalpally,1/6/2019,June,2019,40500,6/1/2019
Jayashankar Bhoopalpally,1/7/2019,July,2019,45500,7/1/2019
Jayashankar Bhoopalpally,1/8/2019,August,2019,45000,8/1/2019
Jayashankar Bhoopalpally,1/9/2019,September,2019,50500,9/1/2019
Jayashankar Bhoopalpally,1/10/2019,October,2019,46000,10/1/2019
Jayashankar Bhoopalpally,1/11/2019,November,2019,51500,11/1/2019
Jayashankar Bhoopalpally,1/12/2019,December,2019,45800,12/1/2019
Jogulamba Gadwal ,1/1/2019,January,2019,146441,1/1/2019
Jogulamba Gadwal ,1/2/2019,February,2019,481110,2/1/2019
Jogulamba Gadwal ,1/3/2019,March,2019,155013,3/1/2019
Jogulamba Gadwal ,1/4/2019,April,2019,82334,4/1/2019
Jogulamba Gadwal ,1/5/2019,May,2019,154609,5/1/2019
Jogulamba Gadwal ,1/6/2019,June,2019,155013,6/1/2019
Jogulamba Gadwal ,1/7/2019,July,2019,114951,7/1/2019
Jogulamba Gadwal ,1/8/2019,August,2019,123733,8/1/2019
Jogulamba Gadwal ,1/9/2019,September,2019,131485,9/1/2019
Jogulamba Gadwal ,1/10/2019,October,2019,152898,10/1/2019
Jogulamba Gadwal ,1/11/2019,November,2019,128075,11/1/2019
Jogulamba Gadwal ,1/12/2019,December,2019,182333,12/1/2019
Kamareddy ,1/1/2019,January,2019,42,1/1/2019
Kamareddy ,1/2/2019,February,2019,41,2/1/2019
Kamareddy ,1/3/2019,March,2019,45,3/1/2019
Kamareddy ,1/4/2019,April,2019,41,4/1/2019
Kamareddy ,1/5/2019,May,2019,46,5/1/2019
Kamareddy ,1/6/2019,June,2019,41,6/1/2019
Kamareddy ,1/7/2019,July,2019,50,7/1/2019
Kamareddy ,1/8/2019,August,2019,50,8/1/2019
Kamareddy ,1/9/2019,September,2019,41,9/1/2019
Kamareddy ,1/10/2019,October,2019,46,10/1/2019
Kamareddy ,1/11/2019,November,2019,46,11/1/2019
Kamareddy ,1/12/2019,December,2019,45,12/1/2019
Karimnagar ,1/1/2019,January,2019,10285,1/1/2019
Karimnagar ,1/2/2019,February,2019,6480,2/1/2019
Karimnagar ,1/3/2019,March,2019,6634,3/1/2019
Karimnagar ,1/4/2019,April,2019,5623,4/1/2019
Karimnagar ,1/5/2019,May,2019,3393,5/1/2019
Karimnagar ,1/6/2019,June,2019,3871,6/1/2019
Karimnagar ,1/7/2019,July,2019,5192,7/1/2019
Karimnagar ,1/8/2019,August,2019,5480,8/1/2019
Karimnagar ,1/9/2019,September,2019,8735,9/1/2019
Karimnagar ,1/10/2019,October,2019,6799,10/1/2019
Karimnagar ,1/11/2019,November,2019,7101,11/1/2019
Karimnagar ,1/12/2019,December,2019,7898,12/1/2019
Khammam,1/1/2019,January,2019,123550,1/1/2019
Khammam,1/2/2019,February,2019,98471,2/1/2019
Khammam,1/3/2019,March,2019,91340,3/1/2019
Khammam,1/4/2019,April,2019,135920,4/1/2019
Khammam,1/5/2019,May,2019,130971,5/1/2019
Khammam,1/6/2019,June,2019,127270,6/1/2019
Khammam,1/7/2019,July,2019,103260,7/1/2019
Khammam,1/8/2019,August,2019,111374,8/1/2019
Khammam,1/9/2019,September,2019,133754,9/1/2019
Khammam,1/10/2019,October,2019,128625,10/1/2019
Khammam,1/11/2019,November,2019,104380,11/1/2019
Khammam,1/12/2019,December,2019,124525,12/1/2019
Komaram Bheem Asifabad,1/1/2019,January,2019,2476,1/1/2019
Komaram Bheem Asifabad,1/2/2019,February,2019,1449,2/1/2019
Komaram Bheem Asifabad,1/3/2019,March,2019,1212,3/1/2019
Komaram Bheem Asifabad,1/4/2019,April,2019,663,4/1/2019
Komaram Bheem Asifabad,1/5/2019,May,2019,493,5/1/2019
Komaram Bheem Asifabad,1/6/2019,June,2019,506,6/1/2019
Komaram Bheem Asifabad,1/7/2019,July,2019,1287,7/1/2019
Komaram Bheem Asifabad,1/8/2019,August,2019,2572,8/1/2019
Komaram Bheem Asifabad,1/9/2019,September,2019,1629,9/1/2019
Komaram Bheem Asifabad,1/10/2019,October,2019,1943,10/1/2019
Komaram Bheem Asifabad,1/11/2019,November,2019,2176,11/1/2019
Komaram Bheem Asifabad,1/12/2019,December,2019,2783,12/1/2019
Mahabubabad ,1/1/2019,January,2019,13480,1/1/2019
Mahabubabad ,1/2/2019,February,2019,13545,2/1/2019
Mahabubabad ,1/3/2019,March,2019,13490,3/1/2019
Mahabubabad ,1/4/2019,April,2019,12980,4/1/2019
Mahabubabad ,1/5/2019,May,2019,11970,5/1/2019
Mahabubabad ,1/6/2019,June,2019,11460,6/1/2019
