District,Month,Year,visitors,Dates
Mahabubabad ,April,2020,0,4/1/2020
Mahabubabad ,May,2020,0,5/1/2020
Mahabubabad ,June,2020,0,6/1/2020
Mahabubabad ,July,2020,0,7/1/2020
Mahabubabad ,August,2020,0,8/1/2020
Mahabubabad ,September,2020,0,9/1/2020
Mahabubabad ,October,2020,0,10/1/2020
Mahabubabad ,November,2020,0,11/1/2020
Mahabubabad ,December,2020,0,12/1/2020
Mahbubnagar,January,2020,45,1/1/2020
Mahbubnagar,February,2020,29,2/1/2020
Mahbubnagar,March,2020,0,3/1/2020
Mahbubnagar,April,2020,0,4/1/2020
Mahbubnagar,May,2020,0,5/1/2020
Mahbubnagar,June,2020,0,6/1/2020
Mahbubnagar,July,2020,0,7/1/2020
Mahbubnagar,August,2020,0,8/1/2020
Mahbubnagar,September,2020,0,9/1/2020
Mahbubnagar,October,2020,0,10/1/2020
Mahbubnagar,November,2020,0,11/1/2020
Mahbubnagar,December,2020,0,12/1/2020
Mancherial,January,2020,0,1/1/2020
Mancherial,February,2020,0,2/1/2020
Mancherial,March,2020,0,3/1/2020
Mancherial,April,2020,0,4/1/2020
Mancherial,May,2020,0,5/1/2020
Mancherial,June,2020,0,6/1/2020
Mancherial,July,2020,0,7/1/2020
Mancherial,August,2020,0,8/1/2020
Mancherial,September,2020,0,9/1/2020
Mancherial,October,2020,0,10/1/2020
Mancherial,November,2020,0,11/1/2020
Mancherial,December,2020,0,12/1/2020
Medak ,January,2020,0,1/1/2020
Medak ,February,2020,0,2/1/2020
Medak ,March,2020,0,3/1/2020
Medak ,April,2020,0,4/1/2020
Medak ,May,2020,0,5/1/2020
Medak ,June,2020,0,6/1/2020
Medak ,July,2020,0,7/1/2020
Medak ,August,2020,0,8/1/2020
Medak ,September,2020,0,9/1/2020
Medak ,October,2020,0,10/1/2020
Medak ,November,2020,0,11/1/2020
Medak ,December,2020,0,12/1/2020
Medchal ,January,2020,0,1/1/2020
Medchal ,February,2020,0,2/1/2020
Medchal ,March,2020,0,3/1/2020
Medchal ,April,2020,0,4/1/2020
Medchal ,May,2020,0,5/1/2020
Medchal ,June,2020,0,6/1/2020
Medchal ,July,2020,0,7/1/2020
Medchal ,August,2020,0,8/1/2020
Medchal ,September,2020,0,9/1/2020
Medchal ,October,2020,0,10/1/2020
Medchal ,November,2020,0,11/1/2020
Medchal ,December,2020,0,12/1/2020
Mulugu,January,2020,70,1/1/2020
Mulugu,February,2020,60,2/1/2020
Mulugu,March,2020,15,3/1/2020
Mulugu,April,2020,0,4/1/2020
Mulugu,May,2020,0,5/1/2020
Mulugu,June,2020,0,6/1/2020
Mulugu,July,2020,0,7/1/2020
Mulugu,August,2020,0,8/1/2020
Mulugu,September,2020,0,9/1/2020
Mulugu,October,2020,0,10/1/2020
Mulugu,November,2020,0,11/1/2020
Mulugu,December,2020,0,12/1/2020
Nagarkurnool ,January,2020,35,1/1/2020
Nagarkurnool ,February,2020,15,2/1/2020
Nagarkurnool ,March,2020,0,3/1/2020
Nagarkurnool ,April,2020,0,4/1/2020
Nagarkurnool ,May,2020,0,5/1/2020
Nagarkurnool ,June,2020,0,6/1/2020
Nagarkurnool ,July,2020,0,7/1/2020
Nagarkurnool ,August,2020,0,8/1/2020
Nagarkurnool ,September,2020,0,9/1/2020
Nagarkurnool ,October,2020,0,10/1/2020
Nagarkurnool ,November,2020,0,11/1/2020
Nagarkurnool ,December,2020,0,12/1/2020
Nalgonda,January,2020,0,1/1/2020
Nalgonda,February,2020,0,2/1/2020
Nalgonda,March,2020,0,3/1/2020
Nalgonda,April,2020,0,4/1/2020
Nalgonda,May,2020,0,5/1/2020
Nalgonda,June,2020,0,6/1/2020
Nalgonda,July,2020,0,7/1/2020
Nalgonda,August,2020,0,8/1/2020
Nalgonda,September,2020,0,9/1/2020
Nalgonda,October,2020,0,10/1/2020
Nalgonda,November,2020,0,11/1/2020
Nalgonda,December,2020,0,12/1/2020
Narayanpet,January,2020,0,1/1/2020
Narayanpet,February,2020,0,2/1/2020
Narayanpet,March,2020,0,3/1/2020
Narayanpet,April,2020,0,4/1/2020
Narayanpet,May,2020,0,5/1/2020
Narayanpet,June,2020,0,6/1/2020
Narayanpet,July,2020,0,7/1/2020
Narayanpet,August,2020,0,8/1/2020
Narayanpet,September,2020,0,9/1/2020
Narayanpet,October,2020,0,10/1/2020
Narayanpet,November,2020,0,11/1/2020
Narayanpet,December,2020,0,12/1/2020
Nirmal,January,2020,0,1/1/2020
Nirmal,February,2020,0,2/1/2020
Nirmal,March,2020,0,3/1/2020
Nirmal,April,2020,0,4/1/2020
Nirmal,May,2020,0,5/1/2020
Nirmal,June,2020,0,6/1/2020
Nirmal,July,2020,0,7/1/2020
Nirmal,August,2020,0,8/1/2020
Nirmal,September,2020,0,9/1/2020
Nirmal,October,2020,0,10/1/2020
Nirmal,November,2020,0,11/1/2020
Nirmal,December,2020,0,12/1/2020
Nizamabad,January,2020,0,1/1/2020
Nizamabad,February,2020,0,2/1/2020
Nizamabad,March,2020,0,3/1/2020
Nizamabad,April,2020,0,4/1/2020
Nizamabad,May,2020,0,5/1/2020
Nizamabad,June,2020,0,6/1/2020
Nizamabad,July,2020,0,7/1/2020
Nizamabad,August,2020,0,8/1/2020
Nizamabad,September,2020,0,9/1/2020
Nizamabad,October,2020,0,10/1/2020
Nizamabad,November,2020,0,11/1/2020
Nizamabad,December,2020,0,12/1/2020
Peddapalli,January,2020,0,1/1/2020
Peddapalli,February,2020,0,2/1/2020
Peddapalli,March,2020,0,3/1/2020
Peddapalli,April,2020,0,4/1/2020
Peddapalli,May,2020,0,5/1/2020
Peddapalli,June,2020,0,6/1/2020
Peddapalli,July,2020,0,7/1/2020
Peddapalli,August,2020,0,8/1/2020
Peddapalli,September,2020,0,9/1/2020
Peddapalli,October,2020,0,10/1/2020
Peddapalli,November,2020,0,11/1/2020
Peddapalli,December,2020,0,12/1/2020
Rajanna Sircilla ,January,2020,0,1/1/2020
Rajanna Sircilla ,February,2020,0,2/1/2020
Rajanna Sircilla ,March,2020,0,3/1/2020
Rajanna Sircilla ,April,2020,0,4/1/2020
Rajanna Sircilla ,May,2020,0,5/1/2020
Rajanna Sircilla ,June,2020,0,6/1/2020
Rajanna Sircilla ,July,2020,0,7/1/2020
Rajanna Sircilla ,August,2020,0,8/1/2020
Rajanna Sircilla ,September,2020,0,9/1/2020
Rajanna Sircilla ,October,2020,0,10/1/2020
Rajanna Sircilla ,November,2020,0,11/1/2020
Rajanna Sircilla ,December,2020,0,12/1/2020
Ranga Reddy,January,2020,0,1/1/2020
Ranga Reddy,February,2020,0,2/1/2020
Ranga Reddy,March,2020,0,3/1/2020
Ranga Reddy,April,2020,0,4/1/2020
Ranga Reddy,May,2020,0,5/1/2020
Ranga Reddy,June,2020,0,6/1/2020
Ranga Reddy,July,2020,0,7/1/2020
Ranga Reddy,August,2020,0,8/1/2020
Ranga Reddy,September,2020,0,9/1/2020
Ranga Reddy,October,2020,0,10/1/2020
Ranga Reddy,November,2020,0,11/1/2020
Ranga Reddy,December,2020,0,12/1/2020
Sangareddy ,January,2020,0,1/1/2020
Sangareddy ,February,2020,0,2/1/2020
Sangareddy ,March,2020,0,3/1/2020
Sangareddy ,April,2020,0,4/1/2020
Sangareddy ,May,2020,0,5/1/2020
Sangareddy ,June,2020,0,6/1/2020
Sangareddy ,July,2020,0,7/1/2020
Sangareddy ,August,2020,0,8/1/2020
Sangareddy ,September,2020,0,9/1/2020
Sangareddy ,October,2020,0,10/1/2020
Sangareddy ,November,2020,0,11/1/2020
Sangareddy ,December,2020,0,12/1/2020
Siddipet,January,2020,0,1/1/2020
Siddipet,February,2020,0,2/1/2020
Siddipet,March,2020,0,3/1/2020
Siddipet,April,2020,0,4/1/2020
Siddipet,May,2020,0,5/1/2020
Siddipet,June,2020,0,6/1/2020
Siddipet,July,2020,0,7/1/2020
Siddipet,August,2020,0,8/1/2020
Siddipet,September,2020,0,9/1/2020
Siddipet,October,2020,0,10/1/2020
Siddipet,November,2020,0,11/1/2020
Siddipet,December,2020,0,12/1/2020
Suryapet,January,2020,0,1/1/2020
Suryapet,February,2020,0,2/1/2020
Suryapet,March,2020,0,3/1/2020
Suryapet,April,2020,0,4/1/2020
Suryapet,May,2020,0,5/1/2020
Suryapet,June,2020,0,6/1/2020
Suryapet,July,2020,0,7/1/2020
Suryapet,August,2020,0,8/1/2020
Suryapet,September,2020,0,9/1/2020
Suryapet,October,2020,0,10/1/2020
Suryapet,November,2020,0,11/1/2020
Suryapet,December,2020,0,12/1/2020
Vikarabad,January,2020,0,1/1/2020
Vikarabad,February,2020,0,2/1/2020
Vikarabad,March,2020,0,3/1/2020
Vikarabad,April,2020,0,4/1/2020
Vikarabad,May,2020,0,5/1/2020
Vikarabad,June,2020,0,6/1/2020
Vikarabad,July,2020,0,7/1/2020
Vikarabad,August,2020,0,8/1/2020
Vikarabad,September,2020,0,9/1/2020
Vikarabad,October,2020,0,10/1/2020
Vikarabad,November,2020,0,11/1/2020
Vikarabad,December,2020,0,12/1/2020
Wanaparthy ,January,2020,0,1/1/2020
Wanaparthy ,February,2020,0,2/1/2020
Wanaparthy ,March,2020,0,3/1/2020
Wanaparthy ,April,2020,0,4/1/2020
Wanaparthy ,May,2020,0,5/1/2020
Wanaparthy ,June,2020,0,6/1/2020
Wanaparthy ,July,2020,0,7/1/2020
Wanaparthy ,August,2020,0,8/1/2020
Wanaparthy ,September,2020,0,9/1/2020
Wanaparthy ,October,2020,0,10/1/2020
Wanaparthy ,November,2020,0,11/1/2020
Wanaparthy ,December,2020,0,12/1/2020
Warangal (Rural),January,2020,0,1/1/2020
Warangal (Rural),February,2020,0,2/1/2020
Warangal (Rural),March,2020,0,3/1/2020
Warangal (Rural),April,2020,0,4/1/2020
Warangal (Rural),May,2020,0,5/1/2020
Warangal (Rural),June,2020,0,6/1/2020
Warangal (Rural),July,2020,0,7/1/2020
Warangal (Rural),August,2020,0,8/1/2020
Warangal (Rural),September,2020,0,9/1/2020
Warangal (Rural),October,2020,0,10/1/2020
Warangal (Rural),November,2020,0,11/1/2020
Warangal (Rural),December,2020,0,12/1/2020
Warangal (Urban),January,2020,225,1/1/2020
Warangal (Urban),February,2020,225,2/1/2020
Warangal (Urban),March,2020,80,3/1/2020
Warangal (Urban),April,2020,0,4/1/2020
Warangal (Urban),May,2020,0,5/1/2020
Warangal (Urban),June,2020,0,6/1/2020
Warangal (Urban),July,2020,0,7/1/2020
Warangal (Urban),August,2020,0,8/1/2020
Warangal (Urban),September,2020,0,9/1/2020
Warangal (Urban),October,2020,0,10/1/2020
Warangal (Urban),November,2020,0,11/1/2020
Warangal (Urban),December,2020,0,12/1/2020
Yadadri Bhongir,January,2020,0,1/1/2020
Yadadri Bhongir,February,2020,0,2/1/2020
Yadadri Bhongir,March,2020,0,3/1/2020
Yadadri Bhongir,April,2020,0,4/1/2020
Yadadri Bhongir,May,2020,0,5/1/2020
Yadadri Bhongir,June,2020,0,6/1/2020
Yadadri Bhongir,July,2020,0,7/1/2020
Yadadri Bhongir,August,2020,0,8/1/2020
Yadadri Bhongir,September,2020,0,9/1/2020
Yadadri Bhongir,October,2020,0,10/1/2020
Yadadri Bhongir,November,2020,0,11/1/2020
Yadadri Bhongir,December,2020,0,12/1/2020
