district,date,month,year,visitors
Adilabad,1/1/2019,January,2019,0
Adilabad,1/2/2019,February,2019,2
Adilabad,1/3/2019,March,2019,0
Adilabad,1/4/2019,April,2019,0
Adilabad,1/5/2019,May,2019,0
Adilabad,1/6/2019,June,2019,0
Adilabad,1/7/2019,July,2019,0
Adilabad,1/8/2019,August,2019,2
Adilabad,1/9/2019,September,2019,0
Adilabad,1/10/2019,October,2019,0
Adilabad,1/11/2019,November,2019,2
Adilabad,1/12/2019,December,2019,0
Bhadradri Kothagudem ,1/1/2019,January,2019,0
Bhadradri Kothagudem ,1/2/2019,February,2019,0
Bhadradri Kothagudem ,1/3/2019,March,2019,0
Bhadradri Kothagudem ,1/4/2019,April,2019,0
Bhadradri Kothagudem ,1/5/2019,May,2019,0
Bhadradri Kothagudem ,1/6/2019,June,2019,0
Bhadradri Kothagudem ,1/7/2019,July,2019,0
Bhadradri Kothagudem ,1/8/2019,August,2019,0
Bhadradri Kothagudem ,1/9/2019,September,2019,0
Bhadradri Kothagudem ,1/10/2019,October,2019,0
Bhadradri Kothagudem ,1/11/2019,November,2019,0
Bhadradri Kothagudem ,1/12/2019,December,2019,0
Hyderabad,1/1/2019,January,2019,35920
Hyderabad,1/2/2019,February,2019,25621
Hyderabad,1/3/2019,March,2019,21929
Hyderabad,1/4/2019,April,2019,18267
Hyderabad,1/5/2019,May,2019,17317
Hyderabad,1/6/2019,June,2019,20077
Hyderabad,1/7/2019,July,2019,27874
Hyderabad,1/8/2019,August,2019,22725
Hyderabad,1/9/2019,September,2019,34018
Hyderabad,1/10/2019,October,2019,28706
Hyderabad,1/11/2019,November,2019,32762
Hyderabad,1/12/2019,December,2019,34084
Jagtial ,1/1/2019,January,2019,0
Jagtial ,1/2/2019,February,2019,0
Jagtial ,1/3/2019,March,2019,0
Jagtial ,1/4/2019,April,2019,0
Jagtial ,1/5/2019,May,2019,0
Jagtial ,1/6/2019,June,2019,0
Jagtial ,1/7/2019,July,2019,0
Jagtial ,1/8/2019,August,2019,0
Jagtial ,1/9/2019,September,2019,0
Jagtial ,1/10/2019,October,2019,0
Jagtial ,1/11/2019,November,2019,0
Jagtial ,1/12/2019,December,2019,0
Jangaon ,1/1/2019,January,2019,0
Jangaon ,1/2/2019,February,2019,0
Jangaon ,1/3/2019,March,2019,0
Jangaon ,1/4/2019,April,2019,0
Jangaon ,1/5/2019,May,2019,0
Jangaon ,1/6/2019,June,2019,0
Jangaon ,1/7/2019,July,2019,0
Jangaon ,1/8/2019,August,2019,0
Jangaon ,1/9/2019,September,2019,0
Jangaon ,1/10/2019,October,2019,0
Jangaon ,1/11/2019,November,2019,0
Jangaon ,1/12/2019,December,2019,0
Jayashankar Bhoopalpally,1/1/2019,January,2019,45
Jayashankar Bhoopalpally,1/2/2019,February,2019,0
Jayashankar Bhoopalpally,1/3/2019,March,2019,0
Jayashankar Bhoopalpally,1/4/2019,April,2019,0
Jayashankar Bhoopalpally,1/5/2019,May,2019,0
Jayashankar Bhoopalpally,1/6/2019,June,2019,0
Jayashankar Bhoopalpally,1/7/2019,July,2019,0
Jayashankar Bhoopalpally,1/8/2019,August,2019,0
Jayashankar Bhoopalpally,1/9/2019,September,2019,0
Jayashankar Bhoopalpally,1/10/2019,October,2019,0
Jayashankar Bhoopalpally,1/11/2019,November,2019,0
Jayashankar Bhoopalpally,1/12/2019,December,2019,0
Jogulamba Gadwal ,1/1/2019,January,2019,36
Jogulamba Gadwal ,1/2/2019,February,2019,6
Jogulamba Gadwal ,1/3/2019,March,2019,22
Jogulamba Gadwal ,1/4/2019,April,2019,16
Jogulamba Gadwal ,1/5/2019,May,2019,20
Jogulamba Gadwal ,1/6/2019,June,2019,22
Jogulamba Gadwal ,1/7/2019,July,2019,37
Jogulamba Gadwal ,1/8/2019,August,2019,42
Jogulamba Gadwal ,1/9/2019,September,2019,25
Jogulamba Gadwal ,1/10/2019,October,2019,13
Jogulamba Gadwal ,1/11/2019,November,2019,45
Jogulamba Gadwal ,1/12/2019,December,2019,11
Kamareddy ,1/1/2019,January,2019,0
Kamareddy ,1/2/2019,February,2019,0
Kamareddy ,1/3/2019,March,2019,0
Kamareddy ,1/4/2019,April,2019,0
Kamareddy ,1/5/2019,May,2019,0
Kamareddy ,1/6/2019,June,2019,0
Kamareddy ,1/7/2019,July,2019,0
Kamareddy ,1/8/2019,August,2019,0
Kamareddy ,1/9/2019,September,2019,0
Kamareddy ,1/10/2019,October,2019,0
Kamareddy ,1/11/2019,November,2019,0
Kamareddy ,1/12/2019,December,2019,0
Karimnagar ,1/1/2019,January,2019,0
Karimnagar ,1/2/2019,February,2019,0
Karimnagar ,1/3/2019,March,2019,0
Karimnagar ,1/4/2019,April,2019,0
Karimnagar ,1/5/2019,May,2019,0
Karimnagar ,1/6/2019,June,2019,0
Karimnagar ,1/7/2019,July,2019,0
Karimnagar ,1/8/2019,August,2019,0
Karimnagar ,1/9/2019,September,2019,0
Karimnagar ,1/10/2019,October,2019,0
Karimnagar ,1/11/2019,November,2019,0
Karimnagar ,1/12/2019,December,2019,0
Khammam,1/1/2019,January,2019,0
Khammam,1/2/2019,February,2019,0
Khammam,1/3/2019,March,2019,0
Khammam,1/4/2019,April,2019,0
Khammam,1/5/2019,May,2019,0
Khammam,1/6/2019,June,2019,0
Khammam,1/7/2019,July,2019,0
Khammam,1/8/2019,August,2019,0
Khammam,1/9/2019,September,2019,0
Khammam,1/10/2019,October,2019,0
Khammam,1/11/2019,November,2019,0
Khammam,1/12/2019,December,2019,0
Komaram Bheem Asifabad,1/1/2019,January,2019,0
Komaram Bheem Asifabad,1/2/2019,February,2019,0
Komaram Bheem Asifabad,1/3/2019,March,2019,0
Komaram Bheem Asifabad,1/4/2019,April,2019,0
Komaram Bheem Asifabad,1/5/2019,May,2019,0
Komaram Bheem Asifabad,1/6/2019,June,2019,0
Komaram Bheem Asifabad,1/7/2019,July,2019,0
Komaram Bheem Asifabad,1/8/2019,August,2019,0
Komaram Bheem Asifabad,1/9/2019,September,2019,0
Komaram Bheem Asifabad,1/10/2019,October,2019,0
Komaram Bheem Asifabad,1/11/2019,November,2019,0
Komaram Bheem Asifabad,1/12/2019,December,2019,0
Mahabubabad ,1/1/2019,January,2019,0
Mahabubabad ,1/2/2019,February,2019,0
Mahabubabad ,1/3/2019,March,2019,0
Mahabubabad ,1/4/2019,April,2019,0
Mahabubabad ,1/5/2019,May,2019,0
Mahabubabad ,1/6/2019,June,2019,0
Mahabubabad ,1/7/2019,July,2019,0
Mahabubabad ,1/8/2019,August,2019,0
Mahabubabad ,1/9/2019,September,2019,0
Mahabubabad ,1/10/2019,October,2019,0
Mahabubabad ,1/11/2019,November,2019,0
Mahabubabad ,1/12/2019,December,2019,0
Mahbubnagar,1/1/2019,January,2019,45
Mahbubnagar,1/2/2019,February,2019,29
Mahbubnagar,1/3/2019,March,2019,28
Mahbubnagar,1/4/2019,April,2019,34
Mahbubnagar,1/5/2019,May,2019,20
Mahbubnagar,1/6/2019,June,2019,28
Mahbubnagar,1/7/2019,July,2019,47
Mahbubnagar,1/8/2019,August,2019,44
Mahbubnagar,1/9/2019,September,2019,34
Mahbubnagar,1/10/2019,October,2019,37
Mahbubnagar,1/11/2019,November,2019,68
Mahbubnagar,1/12/2019,December,2019,26
Mancherial,1/1/2019,January,2019,0
Mancherial,1/2/2019,February,2019,0
Mancherial,1/3/2019,March,2019,0
Mancherial,1/4/2019,April,2019,0
Mancherial,1/5/2019,May,2019,0
Mancherial,1/6/2019,June,2019,0
Mancherial,1/7/2019,July,2019,0
Mancherial,1/8/2019,August,2019,0
Mancherial,1/9/2019,September,2019,0
Mancherial,1/10/2019,October,2019,0
Mancherial,1/11/2019,November,2019,10
Mancherial,1/12/2019,December,2019,0
Medak ,1/1/2019,January,2019,0
Medak ,1/2/2019,February,2019,0
Medak ,1/3/2019,March,2019,0
Medak ,1/4/2019,April,2019,0
Medak ,1/5/2019,May,2019,0
Medak ,1/6/2019,June,2019,0
Medak ,1/7/2019,July,2019,0
Medak ,1/8/2019,August,2019,0
Medak ,1/9/2019,September,2019,0
Medak ,1/10/2019,October,2019,0
Medak ,1/11/2019,November,2019,0
Medak ,1/12/2019,December,2019,0
Medchal ,1/1/2019,January,2019, 
Medchal ,1/2/2019,February,2019, 
Medchal ,1/3/2019,March,2019, 
Medchal ,1/4/2019,April,2019, 
Medchal ,1/5/2019,May,2019, 
Medchal ,1/6/2019,June,2019, 
Medchal ,1/7/2019,July,2019, 
Medchal ,1/8/2019,August,2019, 
Medchal ,1/9/2019,September,2019, 
Medchal ,1/10/2019,October,2019, 
Medchal ,1/11/2019,November,2019, 
Medchal ,1/12/2019,December,2019, 
Mulugu,1/1/2019,January,2019,0
Mulugu,1/2/2019,February,2019,45
Mulugu,1/3/2019,March,2019,40
Mulugu,1/4/2019,April,2019,40
Mulugu,1/5/2019,May,2019,40
Mulugu,1/6/2019,June,2019,50
Mulugu,1/7/2019,July,2019,55
Mulugu,1/8/2019,August,2019,50
Mulugu,1/9/2019,September,2019,60
Mulugu,1/10/2019,October,2019,60
Mulugu,1/11/2019,November,2019,70
Mulugu,1/12/2019,December,2019,65
Nagarkurnool ,1/1/2019,January,2019,35
Nagarkurnool ,1/2/2019,February,2019,15
Nagarkurnool ,1/3/2019,March,2019,14
Nagarkurnool ,1/4/2019,April,2019,18
Nagarkurnool ,1/5/2019,May,2019,14
Nagarkurnool ,1/6/2019,June,2019,14
Nagarkurnool ,1/7/2019,July,2019,17
Nagarkurnool ,1/8/2019,August,2019,22
Nagarkurnool ,1/9/2019,September,2019,7
Nagarkurnool ,1/10/2019,October,2019,3
Nagarkurnool ,1/11/2019,November,2019,30
Nagarkurnool ,1/12/2019,December,2019,10
Nalgonda,1/1/2019,January,2019,0
Nalgonda,1/2/2019,February,2019,0
Nalgonda,1/3/2019,March,2019,0
Nalgonda,1/4/2019,April,2019,0
Nalgonda,1/5/2019,May,2019,0
Nalgonda,1/6/2019,June,2019,0
Nalgonda,1/7/2019,July,2019,0
Nalgonda,1/8/2019,August,2019,0
Nalgonda,1/9/2019,September,2019,0
Nalgonda,1/10/2019,October,2019,0
Nalgonda,1/11/2019,November,2019,0
Nalgonda,1/12/2019,December,2019,0
Narayanpet,1/1/2019,January,2019,0
Narayanpet,1/2/2019,February,2019,0
Narayanpet,1/3/2019,March,2019,0
Narayanpet,1/4/2019,April,2019,0
Narayanpet,1/5/2019,May,2019,0
Narayanpet,1/6/2019,June,2019,0
Narayanpet,1/7/2019,July,2019,0
Narayanpet,1/8/2019,August,2019,0
Narayanpet,1/9/2019,September,2019,0
Narayanpet,1/10/2019,October,2019,0
Narayanpet,1/11/2019,November,2019,0
Narayanpet,1/12/2019,December,2019,5
Nirmal,1/1/2019,January,2019,0
Nirmal,1/2/2019,February,2019,0
Nirmal,1/3/2019,March,2019,0
Nirmal,1/4/2019,April,2019,0
Nirmal,1/5/2019,May,2019,0
Nirmal,1/6/2019,June,2019,0
Nirmal,1/7/2019,July,2019,0
Nirmal,1/8/2019,August,2019,0
Nirmal,1/9/2019,September,2019,0
Nirmal,1/10/2019,October,2019,0
Nirmal,1/11/2019,November,2019,0
Nirmal,1/12/2019,December,2019,0
Nizamabad,1/1/2019,January,2019,0
Nizamabad,1/2/2019,February,2019,1
Nizamabad,1/3/2019,March,2019,0
Nizamabad,1/4/2019,April,2019,0
Nizamabad,1/5/2019,May,2019,0
Nizamabad,1/6/2019,June,2019,0
Nizamabad,1/7/2019,July,2019,0
Nizamabad,1/8/2019,August,2019,0
Nizamabad,1/9/2019,September,2019,0
Nizamabad,1/10/2019,October,2019,0
Nizamabad,1/11/2019,November,2019,0
Nizamabad,1/12/2019,December,2019,0
Peddapalli,1/1/2019,January,2019,0
Peddapalli,1/2/2019,February,2019,0
Peddapalli,1/3/2019,March,2019,0
Peddapalli,1/4/2019,April,2019,0
Peddapalli,1/5/2019,May,2019,0
Peddapalli,1/6/2019,June,2019,0
Peddapalli,1/7/2019,July,2019,0
Peddapalli,1/8/2019,August,2019,0
Peddapalli,1/9/2019,September,2019,0
Peddapalli,1/10/2019,October,2019,0
Peddapalli,1/11/2019,November,2019,0
Peddapalli,1/12/2019,December,2019,0
Rajanna Sircilla ,1/1/2019,January,2019,0
Rajanna Sircilla ,1/2/2019,February,2019,0
Rajanna Sircilla ,1/3/2019,March,2019,0
Rajanna Sircilla ,1/4/2019,April,2019,0
Rajanna Sircilla ,1/5/2019,May,2019,0
Rajanna Sircilla ,1/6/2019,June,2019,0
Rajanna Sircilla ,1/7/2019,July,2019,0
Rajanna Sircilla ,1/8/2019,August,2019,0
Rajanna Sircilla ,1/9/2019,September,2019,0
Rajanna Sircilla ,1/10/2019,October,2019,0
Rajanna Sircilla ,1/11/2019,November,2019,0
Rajanna Sircilla ,1/12/2019,December,2019,0
Ranga Reddy,1/1/2019,January,2019, 
Ranga Reddy,1/2/2019,February,2019, 
