district,date,month,year,visitors
Ranga Reddy,1/3/2019,March,2019, 
Ranga Reddy,1/4/2019,April,2019, 
Ranga Reddy,1/5/2019,May,2019, 
Ranga Reddy,1/6/2019,June,2019, 
Ranga Reddy,1/7/2019,July,2019, 
Ranga Reddy,1/8/2019,August,2019, 
Ranga Reddy,1/9/2019,September,2019, 
Ranga Reddy,1/10/2019,October,2019, 
Ranga Reddy,1/11/2019,November,2019, 
Ranga Reddy,1/12/2019,December,2019, 
Sangareddy ,1/1/2019,January,2019,0
Sangareddy ,1/2/2019,February,2019,0
Sangareddy ,1/3/2019,March,2019,0
Sangareddy ,1/4/2019,April,2019,0
Sangareddy ,1/5/2019,May,2019,0
Sangareddy ,1/6/2019,June,2019,0
Sangareddy ,1/7/2019,July,2019,0
Sangareddy ,1/8/2019,August,2019,0
Sangareddy ,1/9/2019,September,2019,0
Sangareddy ,1/10/2019,October,2019,0
Sangareddy ,1/11/2019,November,2019,0
Sangareddy ,1/12/2019,December,2019,0
Siddipet,1/1/2019,January,2019,0
Siddipet,1/2/2019,February,2019,0
Siddipet,1/3/2019,March,2019,0
Siddipet,1/4/2019,April,2019,0
Siddipet,1/5/2019,May,2019,0
Siddipet,1/6/2019,June,2019,0
Siddipet,1/7/2019,July,2019,0
Siddipet,1/8/2019,August,2019,0
Siddipet,1/9/2019,September,2019,0
Siddipet,1/10/2019,October,2019,0
Siddipet,1/11/2019,November,2019,0
Siddipet,1/12/2019,December,2019,0
Suryapet,1/1/2019,January,2019,0
Suryapet,1/2/2019,February,2019,0
Suryapet,1/3/2019,March,2019,0
Suryapet,1/4/2019,April,2019,0
Suryapet,1/5/2019,May,2019,0
Suryapet,1/6/2019,June,2019,0
Suryapet,1/7/2019,July,2019,0
Suryapet,1/8/2019,August,2019,0
Suryapet,1/9/2019,September,2019,0
Suryapet,1/10/2019,October,2019,0
Suryapet,1/11/2019,November,2019,0
Suryapet,1/12/2019,December,2019,0
Vikarabad,1/1/2019,January,2019, 
Vikarabad,1/2/2019,February,2019, 
Vikarabad,1/3/2019,March,2019, 
Vikarabad,1/4/2019,April,2019, 
Vikarabad,1/5/2019,May,2019, 
Vikarabad,1/6/2019,June,2019, 
Vikarabad,1/7/2019,July,2019, 
Vikarabad,1/8/2019,August,2019, 
Vikarabad,1/9/2019,September,2019, 
Vikarabad,1/10/2019,October,2019, 
Vikarabad,1/11/2019,November,2019, 
Vikarabad,1/12/2019,December,2019, 
Wanaparthy ,1/1/2019,January,2019,0
Wanaparthy ,1/2/2019,February,2019,0
Wanaparthy ,1/3/2019,March,2019,0
Wanaparthy ,1/4/2019,April,2019,0
Wanaparthy ,1/5/2019,May,2019,0
Wanaparthy ,1/6/2019,June,2019,0
Wanaparthy ,1/7/2019,July,2019,0
Wanaparthy ,1/8/2019,August,2019,0
Wanaparthy ,1/9/2019,September,2019,0
Wanaparthy ,1/10/2019,October,2019,0
Wanaparthy ,1/11/2019,November,2019,0
Wanaparthy ,1/12/2019,December,2019,0
Warangal (Rural),1/1/2019,January,2019,0
Warangal (Rural),1/2/2019,February,2019,0
Warangal (Rural),1/3/2019,March,2019,0
Warangal (Rural),1/4/2019,April,2019,0
Warangal (Rural),1/5/2019,May,2019,0
Warangal (Rural),1/6/2019,June,2019,0
Warangal (Rural),1/7/2019,July,2019,0
Warangal (Rural),1/8/2019,August,2019,0
Warangal (Rural),1/9/2019,September,2019,0
Warangal (Rural),1/10/2019,October,2019,0
Warangal (Rural),1/11/2019,November,2019,0
Warangal (Rural),1/12/2019,December,2019,0
Warangal (Urban),1/1/2019,January,2019,175
Warangal (Urban),1/2/2019,February,2019,200
Warangal (Urban),1/3/2019,March,2019,200
Warangal (Urban),1/4/2019,April,2019,190
Warangal (Urban),1/5/2019,May,2019,175
Warangal (Urban),1/6/2019,June,2019,195
Warangal (Urban),1/7/2019,July,2019,185
Warangal (Urban),1/8/2019,August,2019,230
Warangal (Urban),1/9/2019,September,2019,240
Warangal (Urban),1/10/2019,October,2019,220
Warangal (Urban),1/11/2019,November,2019,230
Warangal (Urban),1/12/2019,December,2019,210
Yadadri Bhongir,1/1/2019,January,2019,0
Yadadri Bhongir,1/2/2019,February,2019,0
Yadadri Bhongir,1/3/2019,March,2019,0
Yadadri Bhongir,1/4/2019,April,2019,0
Yadadri Bhongir,1/5/2019,May,2019,0
Yadadri Bhongir,1/6/2019,June,2019,0
Yadadri Bhongir,1/7/2019,July,2019,0
Yadadri Bhongir,1/8/2019,August,2019,0
Yadadri Bhongir,1/9/2019,September,2019,0
Yadadri Bhongir,1/10/2019,October,2019,0
Yadadri Bhongir,1/11/2019,November,2019,0
Yadadri Bhongir,1/12/2019,December,2019,0
