district,date,month,year,visitors
Adilabad,1/1/2017,January,2017,5
Adilabad,1/2/2017,February,2017,0
Adilabad,1/3/2017,March,2017,0
Adilabad,1/4/2017,April,2017,0
Adilabad,1/5/2017,May,2017,0
Adilabad,1/6/2017,June,2017,3
Adilabad,1/7/2017,July,2017,0
Adilabad,1/8/2017,August,2017,0
Adilabad,1/9/2017,September,2017,3
Adilabad,1/10/2017,October,2017,0
Adilabad,1/11/2017,November,2017,0
Adilabad,1/12/2017,December,2017,0
Bhadradri Kothagudem ,1/1/2017,January,2017,0
Bhadradri Kothagudem ,1/2/2017,February,2017,0
Bhadradri Kothagudem ,1/3/2017,March,2017,0
Bhadradri Kothagudem ,1/4/2017,April,2017,0
Bhadradri Kothagudem ,1/5/2017,May,2017,0
Bhadradri Kothagudem ,1/6/2017,June,2017,0
Bhadradri Kothagudem ,1/7/2017,July,2017,0
Bhadradri Kothagudem ,1/8/2017,August,2017,0
Bhadradri Kothagudem ,1/9/2017,September,2017,0
Bhadradri Kothagudem ,1/10/2017,October,2017,0
Bhadradri Kothagudem ,1/11/2017,November,2017,0
Bhadradri Kothagudem ,1/12/2017,December,2017,0
Hyderabad,1/1/2017,January,2017,19286
Hyderabad,1/2/2017,February,2017,18097
Hyderabad,1/3/2017,March,2017,13875
Hyderabad,1/4/2017,April,2017,12996
Hyderabad,1/5/2017,May,2017,12983
Hyderabad,1/6/2017,June,2017,12486
Hyderabad,1/7/2017,July,2017,18144
Hyderabad,1/8/2017,August,2017,16985
Hyderabad,1/9/2017,September,2017,27856
Hyderabad,1/10/2017,October,2017,26368
Hyderabad,1/11/2017,November,2017,29170
Hyderabad,1/12/2017,December,2017,38933
Jagtial ,1/1/2017,January,2017,0
Jagtial ,1/2/2017,February,2017,0
Jagtial ,1/3/2017,March,2017,0
Jagtial ,1/4/2017,April,2017,0
Jagtial ,1/5/2017,May,2017,0
Jagtial ,1/6/2017,June,2017,0
Jagtial ,1/7/2017,July,2017,0
Jagtial ,1/8/2017,August,2017,0
Jagtial ,1/9/2017,September,2017,0
Jagtial ,1/10/2017,October,2017,0
Jagtial ,1/11/2017,November,2017,0
Jagtial ,1/12/2017,December,2017,0
Jangaon ,1/1/2017,January,2017,0
Jangaon ,1/2/2017,February,2017,0
Jangaon ,1/3/2017,March,2017,0
Jangaon ,1/4/2017,April,2017,0
