district,date,month,year,visitors
Mahabubabad ,1/4/2018,April,2018,0
Mahabubabad ,1/5/2018,May,2018,0
Mahabubabad ,1/6/2018,June,2018,0
Mahabubabad ,1/7/2018,July,2018,0
Mahabubabad ,1/8/2018,August,2018,0
Mahabubabad ,1/9/2018,September,2018,0
Mahabubabad ,1/10/2018,October,2018,0
Mahabubabad ,1/11/2018,November,2018,0
Mahabubabad ,1/12/2018,December,2018,0
Mahbubnagar,1/1/2018,January,2018,45
Mahbubnagar,1/2/2018,February,2018,29
Mahbubnagar,1/3/2018,March,2018,28
Mahbubnagar,1/4/2018,April,2018,26
Mahbubnagar,1/5/2018,May,2018,26
Mahbubnagar,1/6/2018,June,2018,26
Mahbubnagar,1/7/2018,July,2018,47
Mahbubnagar,1/8/2018,August,2018,44
Mahbubnagar,1/9/2018,September,2018,52
Mahbubnagar,1/10/2018,October,2018,37
Mahbubnagar,1/11/2018,November,2018,68
Mahbubnagar,1/12/2018,December,2018,26
Mancherial,1/1/2018,January,2018,0
Mancherial,1/2/2018,February,2018,0
Mancherial,1/3/2018,March,2018,0
Mancherial,1/4/2018,April,2018,0
Mancherial,1/5/2018,May,2018,0
Mancherial,1/6/2018,June,2018,0
Mancherial,1/7/2018,July,2018,0
Mancherial,1/8/2018,August,2018,0
Mancherial,1/9/2018,September,2018,0
Mancherial,1/10/2018,October,2018,0
Mancherial,1/11/2018,November,2018,0
Mancherial,1/12/2018,December,2018,0
Medak ,1/1/2018,January,2018,0
Medak ,1/2/2018,February,2018,0
Medak ,1/3/2018,March,2018,0
Medak ,1/4/2018,April,2018,0
Medak ,1/5/2018,May,2018,0
Medak ,1/6/2018,June,2018,0
Medak ,1/7/2018,July,2018,0
Medak ,1/8/2018,August,2018,0
Medak ,1/9/2018,September,2018,0
Medak ,1/10/2018,October,2018,0
Medak ,1/11/2018,November,2018,0
Medak ,1/12/2018,December,2018,0
Medchal ,1/1/2018,January,2018, 
Medchal ,1/2/2018,February,2018, 
Medchal ,1/3/2018,March,2018, 
Medchal ,1/4/2018,April,2018, 
Medchal ,1/5/2018,May,2018, 
Medchal ,1/6/2018,June,2018, 
Medchal ,1/7/2018,July,2018, 
Medchal ,1/8/2018,August,2018, 
Medchal ,1/9/2018,September,2018, 
Medchal ,1/10/2018,October,2018, 
Medchal ,1/11/2018,November,2018, 
Medchal ,1/12/2018,December,2018, 
Nagarkurnool ,1/1/2018,January,2018,35
Nagarkurnool ,1/2/2018,February,2018,15
Nagarkurnool ,1/3/2018,March,2018,14
Nagarkurnool ,1/4/2018,April,2018,15
Nagarkurnool ,1/5/2018,May,2018,19
Nagarkurnool ,1/6/2018,June,2018,15
Nagarkurnool ,1/7/2018,July,2018,17
Nagarkurnool ,1/8/2018,August,2018,22
Nagarkurnool ,1/9/2018,September,2018,22
Nagarkurnool ,1/10/2018,October,2018,8
Nagarkurnool ,1/11/2018,November,2018,30
Nagarkurnool ,1/12/2018,December,2018,10
Nalgonda,1/1/2018,January,2018,0
Nalgonda,1/2/2018,February,2018,0
Nalgonda,1/3/2018,March,2018,0
Nalgonda,1/4/2018,April,2018,0
Nalgonda,1/5/2018,May,2018,0
Nalgonda,1/6/2018,June,2018,0
Nalgonda,1/7/2018,July,2018,0
Nalgonda,1/8/2018,August,2018,0
Nalgonda,1/9/2018,September,2018,0
Nalgonda,1/10/2018,October,2018,0
Nalgonda,1/11/2018,November,2018,0
Nalgonda,1/12/2018,December,2018,0
Nirmal,1/1/2018,January,2018,0
Nirmal,1/2/2018,February,2018,0
Nirmal,1/3/2018,March,2018,0
Nirmal,1/4/2018,April,2018,0
Nirmal,1/5/2018,May,2018,0
Nirmal,1/6/2018,June,2018,0
Nirmal,1/7/2018,July,2018,0
Nirmal,1/8/2018,August,2018,2
Nirmal,1/9/2018,September,2018,0
Nirmal,1/10/2018,October,2018,0
Nirmal,1/11/2018,November,2018,0
Nirmal,1/12/2018,December,2018,0
Nizamabad,1/1/2018,January,2018,1
Nizamabad,1/2/2018,February,2018,0
Nizamabad,1/3/2018,March,2018,0
Nizamabad,1/4/2018,April,2018,0
Nizamabad,1/5/2018,May,2018,0
Nizamabad,1/6/2018,June,2018,0
Nizamabad,1/7/2018,July,2018,1
Nizamabad,1/8/2018,August,2018,0
Nizamabad,1/9/2018,September,2018,0
Nizamabad,1/10/2018,October,2018,0
Nizamabad,1/11/2018,November,2018,0
Nizamabad,1/12/2018,December,2018,0
Peddapalli,1/1/2018,January,2018,0
Peddapalli,1/2/2018,February,2018,0
Peddapalli,1/3/2018,March,2018,0
Peddapalli,1/4/2018,April,2018,0
Peddapalli,1/5/2018,May,2018,0
Peddapalli,1/6/2018,June,2018,0
Peddapalli,1/7/2018,July,2018,0
Peddapalli,1/8/2018,August,2018,0
Peddapalli,1/9/2018,September,2018,0
Peddapalli,1/10/2018,October,2018,0
Peddapalli,1/11/2018,November,2018,0
Peddapalli,1/12/2018,December,2018,0
Rajanna Sircilla ,1/1/2018,January,2018,0
Rajanna Sircilla ,1/2/2018,February,2018,0
Rajanna Sircilla ,1/3/2018,March,2018,0
Rajanna Sircilla ,1/4/2018,April,2018,0
Rajanna Sircilla ,1/5/2018,May,2018,0
Rajanna Sircilla ,1/6/2018,June,2018,0
Rajanna Sircilla ,1/7/2018,July,2018,0
Rajanna Sircilla ,1/8/2018,August,2018,0
Rajanna Sircilla ,1/9/2018,September,2018,0
Rajanna Sircilla ,1/10/2018,October,2018,0
Rajanna Sircilla ,1/11/2018,November,2018,0
Rajanna Sircilla ,1/12/2018,December,2018,0
Ranga Reddy,1/1/2018,January,2018, 
Ranga Reddy,1/2/2018,February,2018, 
Ranga Reddy,1/3/2018,March,2018, 
Ranga Reddy,1/4/2018,April,2018, 
Ranga Reddy,1/5/2018,May,2018, 
Ranga Reddy,1/6/2018,June,2018, 
Ranga Reddy,1/7/2018,July,2018, 
Ranga Reddy,1/8/2018,August,2018, 
Ranga Reddy,1/9/2018,September,2018, 
Ranga Reddy,1/10/2018,October,2018, 
Ranga Reddy,1/11/2018,November,2018, 
Ranga Reddy,1/12/2018,December,2018, 
Sangareddy ,1/1/2018,January,2018,0
Sangareddy ,1/2/2018,February,2018,0
Sangareddy ,1/3/2018,March,2018,0
Sangareddy ,1/4/2018,April,2018,0
Sangareddy ,1/5/2018,May,2018,0
Sangareddy ,1/6/2018,June,2018,0
Sangareddy ,1/7/2018,July,2018,0
Sangareddy ,1/8/2018,August,2018,0
Sangareddy ,1/9/2018,September,2018,0
Sangareddy ,1/10/2018,October,2018,0
Sangareddy ,1/11/2018,November,2018,0
Sangareddy ,1/12/2018,December,2018,0
Siddipet,1/1/2018,January,2018,0
Siddipet,1/2/2018,February,2018,0
Siddipet,1/3/2018,March,2018,0
Siddipet,1/4/2018,April,2018,0
Siddipet,1/5/2018,May,2018,0
Siddipet,1/6/2018,June,2018,0
Siddipet,1/7/2018,July,2018,0
Siddipet,1/8/2018,August,2018,0
Siddipet,1/9/2018,September,2018,0
Siddipet,1/10/2018,October,2018,0
Siddipet,1/11/2018,November,2018,0
Siddipet,1/12/2018,December,2018,0
Suryapet,1/1/2018,January,2018,0
Suryapet,1/2/2018,February,2018,0
Suryapet,1/3/2018,March,2018,0
Suryapet,1/4/2018,April,2018,0
Suryapet,1/5/2018,May,2018,0
Suryapet,1/6/2018,June,2018,0
Suryapet,1/7/2018,July,2018,0
Suryapet,1/8/2018,August,2018,0
Suryapet,1/9/2018,September,2018,0
Suryapet,1/10/2018,October,2018,0
Suryapet,1/11/2018,November,2018,0
Suryapet,1/12/2018,December,2018,0
Vikarabad,1/1/2018,January,2018, 
Vikarabad,1/2/2018,February,2018, 
Vikarabad,1/3/2018,March,2018, 
Vikarabad,1/4/2018,April,2018, 
Vikarabad,1/5/2018,May,2018, 
Vikarabad,1/6/2018,June,2018, 
Vikarabad,1/7/2018,July,2018, 
Vikarabad,1/8/2018,August,2018, 
Vikarabad,1/9/2018,September,2018, 
Vikarabad,1/10/2018,October,2018, 
Vikarabad,1/11/2018,November,2018, 
Vikarabad,1/12/2018,December,2018, 
Wanaparthy ,1/1/2018,January,2018,0
Wanaparthy ,1/2/2018,February,2018,0
Wanaparthy ,1/3/2018,March,2018,0
Wanaparthy ,1/4/2018,April,2018,0
Wanaparthy ,1/5/2018,May,2018,0
Wanaparthy ,1/6/2018,June,2018,0
Wanaparthy ,1/7/2018,July,2018,0
Wanaparthy ,1/8/2018,August,2018,0
Wanaparthy ,1/9/2018,September,2018,0
Wanaparthy ,1/10/2018,October,2018,0
Wanaparthy ,1/11/2018,November,2018,0
Wanaparthy ,1/12/2018,December,2018,0
Warangal (Rural),1/1/2018,January,2018,0
Warangal (Rural),1/2/2018,February,2018,0
Warangal (Rural),1/3/2018,March,2018,0
Warangal (Rural),1/4/2018,April,2018,0
Warangal (Rural),1/5/2018,May,2018,0
Warangal (Rural),1/6/2018,June,2018,0
Warangal (Rural),1/7/2018,July,2018,0
Warangal (Rural),1/8/2018,August,2018,0
Warangal (Rural),1/9/2018,September,2018,0
Warangal (Rural),1/10/2018,October,2018,0
Warangal (Rural),1/11/2018,November,2018,0
Warangal (Rural),1/12/2018,December,2018,0
Warangal (Urban),1/1/2018,January,2018,150
Warangal (Urban),1/2/2018,February,2018,185
Warangal (Urban),1/3/2018,March,2018,160
Warangal (Urban),1/4/2018,April,2018,150
Warangal (Urban),1/5/2018,May,2018,140
Warangal (Urban),1/6/2018,June,2018,130
Warangal (Urban),1/7/2018,July,2018,130
Warangal (Urban),1/8/2018,August,2018,135
Warangal (Urban),1/9/2018,September,2018,145
Warangal (Urban),1/10/2018,October,2018,160
Warangal (Urban),1/11/2018,November,2018,170
Warangal (Urban),1/12/2018,December,2018,187
Yadadri Bhongir,1/1/2018,January,2018,0
Yadadri Bhongir,1/2/2018,February,2018,0
Yadadri Bhongir,1/3/2018,March,2018,0
Yadadri Bhongir,1/4/2018,April,2018,0
Yadadri Bhongir,1/5/2018,May,2018,0
Yadadri Bhongir,1/6/2018,June,2018,0
Yadadri Bhongir,1/7/2018,July,2018,0
Yadadri Bhongir,1/8/2018,August,2018,0
Yadadri Bhongir,1/9/2018,September,2018,0
Yadadri Bhongir,1/10/2018,October,2018,0
Yadadri Bhongir,1/11/2018,November,2018,0
Yadadri Bhongir,1/12/2018,December,2018,0
